symbol,sector,history_years,median_turnover_inr,missing_frac,last_price
HDFCBANK.NS,Financial Services,11.001,17113419993.399658,0.0,975.023681640625
HDFCLIFE.NS,Financial Services,8.123,1714613691.102478,0.0,747.43603515625
HEROMOTOCO.NS,Automobile and Auto Components,11.001,2676792233.9609375,0.0,5646.75732421875
HINDALCO.NS,Metals & Mining,11.001,3286859692.570862,0.0,890.3055419921875
HINDPETRO.NS,Oil Gas & Consumable Fuels,11.001,1661397463.1820984,0.0,474.1712646484375
HINDUNILVR.NS,Fast Moving Consumer Goods,11.001,3393144659.590576,0.0,2299.609375
HINDZINC.NS,Metals & Mining,11.001,997150048.9653625,0.0,600.9697265625
ICICIBANK.NS,Financial Services,11.001,12509593892.120361,0.0,1326.8143310546875
ICICIGI.NS,Financial Services,8.263,1041973874.5063477,0.0,1949.4979248046875
ICICIPRULI.NS,Financial Services,9.257,543951087.5882263,0.0,671.968017578125
IDEA.NS,Telecommunication,11.001,3464792627.427349,0.0,11.600000381469727
IDFCFIRSTB.NS,Financial Services,10.155,1552758985.2920341,0.0,85.35923767089844
IEX.NS,Financial Services,8.192,818247604.2967377,0.0,129.75289916992188
INDHOTEL.NS,Consumer Services,11.001,2022088465.544159,0.0,735.3251342773438
INDIANB.NS,Financial Services,11.001,996842786.898468,0.0,815.2333374023438
INDIGO.NS,Services,10.144,4439816813.358643,0.0,5110.5
INDUSINDBK.NS,Financial Services,11.001,3580846924.742737,0.0,888.760498046875
INDUSTOWER.NS,Telecommunication,11.001,2181733829.8216553,0.0,419.9937744140625
INFY.NS,Information Technology,11.001,11369964793.49707,0.0,1595.2791748046875
INOXWIND.NS,Capital Goods,10.732,941491319.1341324,0.0,122.8499984741211
IOC.NS,Oil Gas & Consumable Fuels,11.001,1554430335.0678864,0.0,162.3675079345703
IRFC.NS,Financial Services,4.923,1581364910.480877,0.0,124.46814727783203
ITC.NS,Fast Moving Consumer Goods,11.001,5150376881.942291,0.0,346.9295959472656
JINDALSTEL.NS,Metals & Mining,11.001,1425230076.7756348,0.0,1066.490234375
JSWENERGY.NS,Power,11.001,1411508196.143097,0.0,500.2984619140625
JSWSTEEL.NS,Metals & Mining,11.001,1568041507.1873474,0.0,1164.8094482421875
JUBLFOOD.NS,Consumer Services,11.001,952981166.7937622,0.0,551.5813598632812
KALYANKJIL.NS,Consumer Durables,4.769,2234433023.168152,0.0,484.20001220703125
KAYNES.NS,Capital Goods,3.11,3069788294.6313477,0.0,3943.5
KEI.NS,Capital Goods,11.001,1010957733.7113037,0.0,4509.1611328125
KFINTECH.NS,Financial Services,3.009,1139948919.7157593,0.0,1062.3160400390625
KOTAKBANK.NS,Financial Services,11.001,6597059295.343399,0.0,442.7955322265625
KPITTECH.NS,Information Technology,6.697,972451664.6462402,0.0,1150.838134765625
LAURUSLABS.NS,Healthcare,9.035,1300793188.7341309,0.0,1109.295654296875
LICHSGFIN.NS,Financial Services,11.001,717636456.4432983,0.0,525.3027954101562
LICI.NS,Financial Services,3.628,839602272.2774963,0.0,416.63360595703125
LODHA.NS,Realty,4.704,1332086676.0,0.0,1069.0443115234375
LT.NS,Construction,11.001,5658781458.450439,0.0,4100.35009765625
LTF.NS,Financial Services,11.001,1074462532.4733353,0.0,314.0169677734375
LTM.NS,Information Technology,9.448,1357179597.355957,0.0,6031.173828125
LUPIN.NS,Healthcare,11.001,1683620403.869812,0.0,2087.662841796875
M&M.NS,Automobile and Auto Components,11.001,7466756052.110352,0.004,3721.914306640625
MANAPPURAM.NS,Financial Services,11.001,1068544023.1536636,0.0,312.1739807128906
MARICO.NS,Fast Moving Consumer Goods,11.001,1218846009.129181,0.0,756.98828125
MARUTI.NS,Automobile and Auto Components,11.001,4439210024.152832,0.0,16541.869140625
MAXHEALTH.NS,Healthcare,5.363,2372856409.3152466,0.0,1047.538330078125
MAZDOCK.NS,Capital Goods,5.221,4931936394.453369,0.0,2464.558837890625
MCX.NS,Financial Services,11.001,3380626211.591797,0.0,2197.800048828125
MFSL.NS,Financial Services,11.001,895960511.2120972,0.0,1674.0
MOTHERSON.NS,Automobile and Auto Components,11.001,1605588746.1004295,0.0,121.92898559570312
MOTILALOFS.NS,Financial Services,11.001,1090836920.8856812,0.0,834.9110107421875
MPHASIS.NS,Information Technology,11.001,1177052490.8477783,0.0,2754.746337890625
MUTHOOTFIN.NS,Financial Services,11.001,1245395549.3579102,0.0,3806.8115234375
NAM-INDIA.NS,Financial Services,8.153,583926264.924408,0.0,865.599365234375
NATIONALUM.NS,Metals & Mining,11.001,1691689096.968132,0.0,308.38525390625
NAUKRI.NS,Consumer Services,11.001,1587563105.6850586,0.0,1333.842529296875
NBCC.NS,Construction,11.001,923389851.6088905,0.0,121.73983764648438
NESTLEIND.NS,Fast Moving Consumer Goods,11.001,1359920999.409851,0.0,1281.883544921875
